country,Count,year,Type
S. Africa,0.0,1986,In-Land
Tunisia,2.0,1986,In-Land
Oth Africa,5.0,1986,In-Land
Argentina,47.0,1986,In-Land
Bolivia,4.0,1986,In-Land
Brazil,46.0,1986,In-Land
Chile,3.0,1986,In-Land
Colombia,17.0,1986,In-Land
Costa Rica,0.0,1986,In-Land
Ecuador*,2.0,1986,In-Land
Mexico,132.0,1986,In-Land
Peru,10.0,1986,In-Land
Trinidad,7.0,1986,In-Land
Venezuela*,16.0,1986,In-Land
Oth L.A.,1.0,1986,In-Land
Australia,8.0,1986,In-Land
Bangladesh,5.0,1986,In-Land
Brunei,1.0,1986,In-Land
India,55.0,1986,In-Land
Indonesia*,42.0,1986,In-Land
Japan,12.0,1986,In-Land
Malaysia,0.0,1986,In-Land
Myanmar,32.0,1986,In-Land
New Zealand,4.0,1986,In-Land
Off China,0.0,1986,In-Land
Papua New Guinea,2.0,1986,In-Land
Phillippines,1.0,1986,In-Land
Taiwan,5.0,1986,In-Land
Thailand,2.0,1986,In-Land
Vietnam,0.0,1986,In-Land
Oth Far East,0.0,1986,In-Land
U.S.,937.0,1987,In-Land
Canada,181.0,1987,In-Land
Austria,4.0,1987,In-Land
Denmark,0.0,1987,In-Land
France,8.0,1987,In-Land
Germany,12.0,1987,In-Land
Greece,2.0,1987,In-Land
Netherlands,3.0,1987,In-Land
Hungary,0.0,1987,In-Land
Italy,20.0,1987,In-Land
Norway,0.0,1987,In-Land
Poland,0.0,1987,In-Land
Romania,0.0,1987,In-Land
Spain,2.0,1987,In-Land
Turkey,26.0,1987,In-Land
U.K.,4.0,1987,In-Land
Yugoslavia/Croatia,28.0,1987,In-Land
Oth Eur,0.0,1987,In-Land
Abu Dhabi*,3.0,1987,In-Land
Dubai*,0.0,1987,In-Land
Egypt,14.0,1987,In-Land
Iran*,17.0,1987,In-Land
Iraq*,10.0,1987,In-Land
Jordan,2.0,1987,In-Land
Kuwait*,6.0,1987,In-Land
Oman,10.0,1987,In-Land
Pakistan,14.0,1987,In-Land
Qatar*,1.0,1987,In-Land
Saudi Arabia*,4.0,1987,In-Land
Sudan,0.0,1987,In-Land
Syria,22.0,1987,In-Land
Yemen,4.0,1987,In-Land
Oth Mid East,1.0,1987,In-Land
Algeria*,40.0,1987,In-Land
Angola,1.0,1987,In-Land
Congo,0.0,1987,In-Land
Gabon*,0.0,1987,In-Land
Kenya,1.0,1987,In-Land
Libya*,12.0,1987,In-Land
Nigeria*,6.0,1987,In-Land
S. Africa,0.0,1987,In-Land
Tunisia,3.0,1987,In-Land
Oth Africa,4.0,1987,In-Land
Argentina,60.0,1987,In-Land
Bolivia,6.0,1987,In-Land
Brazil,36.0,1987,In-Land
Chile,4.0,1987,In-Land
Colombia,14.0,1987,In-Land
Costa Rica,1.0,1987,In-Land
Ecuador*,3.0,1987,In-Land
Mexico,112.0,1987,In-Land
Peru,11.0,1987,In-Land
Trinidad,5.0,1987,In-Land
Venezuela*,9.0,1987,In-Land
Oth L.A.,1.0,1987,In-Land
Australia,13.0,1987,In-Land
Bangladesh,5.0,1987,In-Land
Brunei,1.0,1987,In-Land
India,94.0,1987,In-Land
Indonesia*,25.0,1987,In-Land
Japan,10.0,1987,In-Land
Malaysia,0.0,1987,In-Land
Myanmar,29.0,1987,In-Land
New Zealand,2.0,1987,In-Land
Off China,0.0,1987,In-Land
Papua New Guinea,2.0,1987,In-Land
Phillippines,2.0,1987,In-Land
Taiwan,3.0,1987,In-Land
Thailand,3.0,1987,In-Land
Vietnam,0.0,1987,In-Land
Oth Far East,0.0,1987,In-Land
U.S.,937.0,1988,In-Land
Canada,196.0,1988,In-Land
Austria,4.0,1988,In-Land
Denmark,0.0,1988,In-Land
France,8.0,1988,In-Land
Germany,9.0,1988,In-Land
Greece,2.0,1988,In-Land
Netherlands,4.0,1988,In-Land
Hungary,0.0,1988,In-Land
Italy,17.0,1988,In-Land
Norway,0.0,1988,In-Land
Poland,0.0,1988,In-Land
Romania,0.0,1988,In-Land
Spain,1.0,1988,In-Land
Turkey,21.0,1988,In-Land
U.K.,5.0,1988,In-Land
Yugoslavia/Croatia,28.0,1988,In-Land
Oth Eur,0.0,1988,In-Land
Abu Dhabi*,3.0,1988,In-Land
Dubai*,0.0,1988,In-Land
Egypt,11.0,1988,In-Land
Iran*,18.0,1988,In-Land
Iraq*,23.0,1988,In-Land
Jordan,2.0,1988,In-Land
Kuwait*,6.0,1988,In-Land
Oman,9.0,1988,In-Land
Pakistan,13.0,1988,In-Land
Qatar*,2.0,1988,In-Land
Saudi Arabia*,4.0,1988,In-Land
Sudan,0.0,1988,In-Land
Syria,22.0,1988,In-Land
Yemen,3.0,1988,In-Land
Oth Mid East,0.0,1988,In-Land
Algeria*,32.0,1988,In-Land
Angola,1.0,1988,In-Land
Congo,0.0,1988,In-Land
Gabon*,3.0,1988,In-Land
Kenya,1.0,1988,In-Land
Libya*,14.0,1988,In-Land
Nigeria*,8.0,1988,In-Land
S. Africa,1.0,1988,In-Land
Tunisia,2.0,1988,In-Land
Oth Africa,3.0,1988,In-Land
Argentina,63.0,1988,In-Land
Bolivia,5.0,1988,In-Land
Brazil,28.0,1988,In-Land
Chile,2.0,1988,In-Land
Colombia,19.0,1988,In-Land
Costa Rica,0.0,1988,In-Land
Ecuador*,5.0,1988,In-Land
Mexico,121.0,1988,In-Land
Peru,6.0,1988,In-Land
Trinidad,3.0,1988,In-Land
Venezuela*,15.0,1988,In-Land
Oth L.A.,0.0,1988,In-Land
Australia,13.0,1988,In-Land
Bangladesh,2.0,1988,In-Land
Brunei,1.0,1988,In-Land
India,102.0,1988,In-Land
Indonesia*,33.0,1988,In-Land
Japan,10.0,1988,In-Land
Malaysia,0.0,1988,In-Land
Myanmar,26.0,1988,In-Land
New Zealand,1.0,1988,In-Land
Off China,0.0,1988,In-Land
Papua New Guinea,2.0,1988,In-Land
Phillippines,3.0,1988,In-Land
Taiwan,2.0,1988,In-Land
Thailand,2.0,1988,In-Land
Vietnam,0.0,1988,In-Land
Oth Far East,0.0,1988,In-Land
U.S.,870.0,1989,In-Land
Canada,130.0,1989,In-Land
Austria,2.0,1989,In-Land
Denmark,0.0,1989,In-Land
France,7.0,1989,In-Land
Germany,8.0,1989,In-Land
Greece,1.0,1989,In-Land
Netherlands,4.0,1989,In-Land
Hungary,0.0,1989,In-Land
Italy,17.0,1989,In-Land
Norway,0.0,1989,In-Land
Poland,0.0,1989,In-Land
Romania,0.0,1989,In-Land
Spain,1.0,1989,In-Land
Turkey,20.0,1989,In-Land
U.K.,4.0,1989,In-Land
Yugoslavia/Croatia,29.0,1989,In-Land
Oth Eur,0.0,1989,In-Land
Abu Dhabi*,2.0,1989,In-Land
Dubai*,0.0,1989,In-Land
Egypt,7.0,1989,In-Land
Iran*,20.0,1989,In-Land
Iraq*,25.0,1989,In-Land
Jordan,3.0,1989,In-Land
Kuwait*,4.0,1989,In-Land
Oman,13.0,1989,In-Land
Pakistan,14.0,1989,In-Land
Qatar*,1.0,1989,In-Land
Saudi Arabia*,4.0,1989,In-Land
Sudan,0.0,1989,In-Land
Syria,24.0,1989,In-Land
Yemen,2.0,1989,In-Land
Oth Mid East,1.0,1989,In-Land
Algeria*,24.0,1989,In-Land
Angola,1.0,1989,In-Land
Congo,0.0,1989,In-Land
Gabon*,3.0,1989,In-Land
Kenya,2.0,1989,In-Land
Libya*,13.0,1989,In-Land
Nigeria*,10.0,1989,In-Land
S. Africa,0.0,1989,In-Land
Tunisia,3.0,1989,In-Land
Oth Africa,2.0,1989,In-Land
Argentina,54.0,1989,In-Land
Bolivia,6.0,1989,In-Land
Brazil,20.0,1989,In-Land
Chile,2.0,1989,In-Land
Colombia,15.0,1989,In-Land
Costa Rica,0.0,1989,In-Land
Ecuador*,5.0,1989,In-Land
Mexico,66.0,1989,In-Land
Peru,6.0,1989,In-Land
Trinidad,2.0,1989,In-Land
Venezuela*,18.0,1989,In-Land
Oth L.A.,0.0,1989,In-Land
Australia,7.0,1989,In-Land
Bangladesh,4.0,1989,In-Land
Brunei,1.0,1989,In-Land
India,111.0,1989,In-Land
Indonesia*,37.0,1989,In-Land
Japan,5.0,1989,In-Land
Malaysia,1.0,1989,In-Land
Myanmar,23.0,1989,In-Land
New Zealand,1.0,1989,In-Land
Off China,0.0,1989,In-Land
Papua New Guinea,2.0,1989,In-Land
Phillippines,5.0,1989,In-Land
Taiwan,4.0,1989,In-Land
Thailand,2.0,1989,In-Land
Vietnam,0.0,1989,In-Land
Oth Far East,0.0,1989,In-Land
U.S.,1008.0,1990,In-Land
Canada,138.0,1990,In-Land
Austria,1.0,1990,In-Land
Denmark,0.0,1990,In-Land
France,6.0,1990,In-Land
Germany,8.0,1990,In-Land
Greece,0.0,1990,In-Land
Netherlands,4.0,1990,In-Land
Hungary,0.0,1990,In-Land
Italy,16.0,1990,In-Land
Norway,0.0,1990,In-Land
Poland,0.0,1990,In-Land
Romania,0.0,1990,In-Land
Spain,1.0,1990,In-Land
Turkey,17.0,1990,In-Land
U.K.,3.0,1990,In-Land
Yugoslavia/Croatia,30.0,1990,In-Land
Oth Eur,0.0,1990,In-Land
Abu Dhabi*,3.0,1990,In-Land
Dubai*,1.0,1990,In-Land
Egypt,6.0,1990,In-Land
Iran*,19.0,1990,In-Land
Iraq*,23.0,1990,In-Land
Jordan,2.0,1990,In-Land
Kuwait*,2.0,1990,In-Land
Oman,17.0,1990,In-Land
Pakistan,11.0,1990,In-Land
Qatar*,1.0,1990,In-Land
Saudi Arabia*,8.0,1990,In-Land
Sudan,0.0,1990,In-Land
Syria,17.0,1990,In-Land
Yemen,5.0,1990,In-Land
Oth Mid East,1.0,1990,In-Land
Algeria*,35.0,1990,In-Land
Angola,1.0,1990,In-Land
Congo,0.0,1990,In-Land
Gabon*,3.0,1990,In-Land
Kenya,2.0,1990,In-Land
Libya*,12.0,1990,In-Land
Nigeria*,12.0,1990,In-Land
S. Africa,0.0,1990,In-Land
Tunisia,3.0,1990,In-Land
Oth Africa,2.0,1990,In-Land
Argentina,63.0,1990,In-Land
Bolivia,6.0,1990,In-Land
Brazil,15.0,1990,In-Land
Chile,3.0,1990,In-Land
Colombia,11.0,1990,In-Land
Costa Rica,0.0,1990,In-Land
Ecuador*,2.0,1990,In-Land
Mexico,58.0,1990,In-Land
Peru,3.0,1990,In-Land
Trinidad,3.0,1990,In-Land
Venezuela*,20.0,1990,In-Land
Oth L.A.,0.0,1990,In-Land
Australia,8.0,1990,In-Land
Bangladesh,4.0,1990,In-Land
Brunei,1.0,1990,In-Land
India,110.0,1990,In-Land
Indonesia*,36.0,1990,In-Land
Japan,7.0,1990,In-Land
Malaysia,0.0,1990,In-Land
Myanmar,20.0,1990,In-Land
New Zealand,0.0,1990,In-Land
Off China,0.0,1990,In-Land
Papua New Guinea,2.0,1990,In-Land
Phillippines,6.0,1990,In-Land
Taiwan,3.0,1990,In-Land
Thailand,3.0,1990,In-Land
Vietnam,0.0,1990,In-Land
Oth Far East,0.0,1990,In-Land
U.S.,862.0,1991,In-Land
Canada,121.0,1991,In-Land
Austria,2.0,1991,In-Land
Denmark,0.0,1991,In-Land
France,4.0,1991,In-Land
Germany,7.0,1991,In-Land
Greece,0.0,1991,In-Land
Netherlands,3.0,1991,In-Land
Hungary,5.0,1991,In-Land
Italy,19.0,1991,In-Land
Norway,0.0,1991,In-Land
Poland,28.0,1991,In-Land
Romania,0.0,1991,In-Land
Spain,0.0,1991,In-Land
Turkey,19.0,1991,In-Land
U.K.,1.0,1991,In-Land
Yugoslavia/Croatia,14.0,1991,In-Land
Oth Eur,1.0,1991,In-Land
Abu Dhabi*,6.0,1991,In-Land
Dubai*,0.0,1991,In-Land
Egypt,9.0,1991,In-Land
Iran*,20.0,1991,In-Land
Iraq*,0.0,1991,In-Land
Jordan,2.0,1991,In-Land
Kuwait*,1.0,1991,In-Land
Oman,14.0,1991,In-Land
Pakistan,10.0,1991,In-Land
Qatar*,2.0,1991,In-Land
Saudi Arabia*,14.0,1991,In-Land
Sudan,0.0,1991,In-Land
Syria,14.0,1991,In-Land
Yemen,5.0,1991,In-Land
Oth Mid East,0.0,1991,In-Land
Algeria*,31.0,1991,In-Land
Angola,0.0,1991,In-Land
Congo,2.0,1991,In-Land
Gabon*,3.0,1991,In-Land
Kenya,0.0,1991,In-Land
Libya*,14.0,1991,In-Land
Nigeria*,8.0,1991,In-Land
S. Africa,1.0,1991,In-Land
Tunisia,4.0,1991,In-Land
Oth Africa,0.0,1991,In-Land
Argentina,60.0,1991,In-Land
Bolivia,10.0,1991,In-Land
Brazil,14.0,1991,In-Land
Chile,3.0,1991,In-Land
Colombia,9.0,1991,In-Land
Costa Rica,0.0,1991,In-Land
Ecuador*,7.0,1991,In-Land
Mexico,76.0,1991,In-Land
Peru,2.0,1991,In-Land
Trinidad,2.0,1991,In-Land
Venezuela*,28.0,1991,In-Land
Oth L.A.,0.0,1991,In-Land
Australia,7.0,1991,In-Land
Bangladesh,0.0,1991,In-Land
Brunei,1.0,1991,In-Land
India,113.0,1991,In-Land
Indonesia*,38.0,1991,In-Land
Japan,4.0,1991,In-Land
Malaysia,1.0,1991,In-Land
Myanmar,22.0,1991,In-Land
New Zealand,1.0,1991,In-Land
Off China,0.0,1991,In-Land
Papua New Guinea,2.0,1991,In-Land
Phillippines,4.0,1991,In-Land
Taiwan,2.0,1991,In-Land
Thailand,1.0,1991,In-Land
Vietnam,0.0,1991,In-Land
Oth Far East,0.0,1991,In-Land
U.S.,718.0,1992,In-Land
Canada,96.0,1992,In-Land
Austria,2.0,1992,In-Land
Denmark,0.0,1992,In-Land
France,3.0,1992,In-Land
Germany,6.0,1992,In-Land
Greece,0.0,1992,In-Land
Netherlands,2.0,1992,In-Land
Hungary,2.0,1992,In-Land
Italy,17.0,1992,In-Land
Norway,0.0,1992,In-Land
Poland,18.0,1992,In-Land
Romania,1.0,1992,In-Land
Spain,0.0,1992,In-Land
Turkey,15.0,1992,In-Land
U.K.,1.0,1992,In-Land
Yugoslavia/Croatia,0.0,1992,In-Land
Oth Eur,1.0,1992,In-Land
Abu Dhabi*,8.0,1992,In-Land
Dubai*,1.0,1992,In-Land
Egypt,7.0,1992,In-Land
Iran*,37.0,1992,In-Land
Iraq*,0.0,1992,In-Land
Jordan,2.0,1992,In-Land
Kuwait*,4.0,1992,In-Land
Oman,12.0,1992,In-Land
Pakistan,11.0,1992,In-Land
Qatar*,2.0,1992,In-Land
Saudi Arabia*,16.0,1992,In-Land
Sudan,0.0,1992,In-Land
Syria,17.0,1992,In-Land
Yemen,8.0,1992,In-Land
Oth Mid East,2.0,1992,In-Land
Algeria*,30.0,1992,In-Land
Angola,0.0,1992,In-Land
Congo,1.0,1992,In-Land
Gabon*,1.0,1992,In-Land
Kenya,1.0,1992,In-Land
Libya*,15.0,1992,In-Land
Nigeria*,7.0,1992,In-Land
S. Africa,1.0,1992,In-Land
Tunisia,2.0,1992,In-Land
Oth Africa,0.0,1992,In-Land
Argentina,49.0,1992,In-Land
Bolivia,16.0,1992,In-Land
Brazil,14.0,1992,In-Land
Chile,2.0,1992,In-Land
Colombia,12.0,1992,In-Land
Costa Rica,0.0,1992,In-Land
Ecuador*,4.0,1992,In-Land
Mexico,51.0,1992,In-Land
Peru,3.0,1992,In-Land
Trinidad,1.0,1992,In-Land
Venezuela*,34.0,1992,In-Land
Oth L.A.,0.0,1992,In-Land
Australia,6.0,1992,In-Land
Bangladesh,0.0,1992,In-Land
Brunei,0.0,1992,In-Land
India,104.0,1992,In-Land
Indonesia*,35.0,1992,In-Land
Japan,6.0,1992,In-Land
Malaysia,0.0,1992,In-Land
Myanmar,18.0,1992,In-Land
New Zealand,1.0,1992,In-Land
Off China,0.0,1992,In-Land
Papua New Guinea,2.0,1992,In-Land
Phillippines,6.0,1992,In-Land
Taiwan,3.0,1992,In-Land
Thailand,1.0,1992,In-Land
Vietnam,0.0,1992,In-Land
Oth Far East,0.0,1992,In-Land
U.S.,753.0,1993,In-Land
Canada,185.0,1993,In-Land
Austria,1.0,1993,In-Land
Denmark,0.0,1993,In-Land
France,3.0,1993,In-Land
Germany,7.0,1993,In-Land
Greece,0.0,1993,In-Land
Netherlands,3.0,1993,In-Land
Hungary,2.0,1993,In-Land
Italy,11.0,1993,In-Land
Norway,0.0,1993,In-Land
Poland,18.0,1993,In-Land
Romania,4.0,1993,In-Land
Spain,0.0,1993,In-Land
Turkey,16.0,1993,In-Land
