Year,Country or Area,Year,Unit,Value,Value Footnotes
2005,Azerbaijan,2005,Thousand units,0.271,
2004,Azerbaijan,2004,Mil. USD,0.122113106,
2004,Azerbaijan,2004,Thousand units,0.043,
2003,Azerbaijan,2003,Mil. USD,0,
2002,Azerbaijan,2002,Mil. USD,0,
2001,Azerbaijan,2001,Mil. USD,0,
2000,Azerbaijan,2000,Mil. USD,0,
2006,Bangladesh,2006,Mil. USD,6.715454616,2
2006,Bangladesh,2006,Thousand units,0.411,2
2005,Bangladesh,2005,Mil. USD,5.097573004,2
2005,Bangladesh,2005,Thousand units,0.332,2
2004,Bangladesh,2004,Mil. USD,9.285167483,2
2004,Bangladesh,2004,Thousand units,0.608,2
2003,Bangladesh,2003,Mil. USD,11.46030166,2
2003,Bangladesh,2003,Thousand units,0.904,2
2002,Bangladesh,2002,Mil. USD,14.18525428,2
2002,Bangladesh,2002,Thousand units,1.006,2
2001,Bangladesh,2001,Mil. USD,13.82938717,2
2001,Bangladesh,2001,Thousand units,1.031,2
2016,Belarus,2016,Thousand units,10.348,
2015,Belarus,2015,Thousand units,8.681,
2014,Belarus,2014,Thousand units,9.649,
2013,Belarus,2013,Thousand units,2.734,
2012,Belarus,2012,Thousand units,0.406,
2011,Belarus,2011,Thousand units,0.397,
2010,Belarus,2010,Thousand units,0.364,
2009,Belarus,2009,Thousand units,0.278,
2008,Belarus,2008,Thousand units,0.299,
2007,Belarus,2007,Thousand units,0.232,
2006,Belarus,2006,Thousand units,0.036,
2005,Belarus,2005,Thousand units,0,
2004,Belarus,2004,Thousand units,0,
2003,Belarus,2003,Thousand units,0,
2002,Belarus,2002,Thousand units,0,
2001,Belarus,2001,Thousand units,0,
2000,Belarus,2000,Thousand units,0.046,
1999,Belarus,1999,Thousand units,0.195,
1998,Belarus,1998,Thousand units,1.258,
1997,Belarus,1997,Thousand units,0.881,
1996,Belarus,1996,Thousand units,0,
2012,Bolivia (Plurinational State of),2012,Mil. USD,0.304873363,
2012,Bolivia (Plurinational State of),2012,Thousand units,0.004,
2015,Brazil,2015,Mil. USD,24767.78579,
2015,Brazil,2015,Thousand units,2141.86,
2014,Brazil,2014,Mil. USD,39738.99796,
2014,Brazil,2014,Thousand units,2665.905,
2013,Brazil,2013,Mil. USD,47764.01788,
2013,Brazil,2013,Thousand units,3166.72,
2012,Brazil,2012,Mil. USD,46569.87222,
2012,Brazil,2012,Thousand units,3015.127,
2011,Brazil,2011,Mil. USD,50803.13075,
2011,Brazil,2011,Thousand units,2845.697,
2010,Brazil,2010,Mil. USD,47838.02579,
2010,Brazil,2010,Thousand units,2940.071,
2009,Brazil,2009,Mil. USD,39207.90672,
2009,Brazil,2009,Thousand units,2720.845,
2008,Brazil,2008,Mil. USD,40453.72977,
2008,Brazil,2008,Thousand units,2620.166,
2007,Brazil,2007,Mil. USD,29878.15086,
2007,Brazil,2007,Thousand units,2557.342,
2006,Brazil,2006,Mil. USD,22449.10889,
2006,Brazil,2006,Thousand units,3705.788,
2005,Brazil,2005,Mil. USD,18943.2937,
2005,Brazil,2005,Thousand units,2181.948,
2004,Brazil,2004,Mil. USD,13206.96464,
2004,Brazil,2004,Thousand units,1875.637,
2003,Brazil,2003,Mil. USD,10059.26317,
2003,Brazil,2003,Thousand units,1472.004,
2002,Brazil,2002,Mil. USD,9057.584479,
2002,Brazil,2002,Thousand units,1443.811,
2001,Brazil,2001,Mil. USD,9616.662096,
2001,Brazil,2001,Thousand units,1467.486,
2000,Brazil,2000,Mil. USD,9213.053701,
2000,Brazil,2000,Thousand units,1319.732,
2016,Bulgaria,2016,Mil. USD,0,3
2016,Bulgaria,2016,Thousand units,0,3
2011,Bulgaria,2011,Mil. USD,0,
2011,Bulgaria,2011,Thousand units,0,
2010,Bulgaria,2010,Mil. USD,0,
2010,Bulgaria,2010,Thousand units,0,
2009,Bulgaria,2009,Mil. USD,0,
2009,Bulgaria,2009,Thousand units,0,
2008,Bulgaria,2008,Mil. USD,0,
2008,Bulgaria,2008,Thousand units,0,
2007,Bulgaria,2007,Mil. USD,0,
2007,Bulgaria,2007,Thousand units,0,
2006,Bulgaria,2006,Mil. USD,0,
2006,Bulgaria,2006,Thousand units,0,
2005,Bulgaria,2005,Mil. USD,0,
2005,Bulgaria,2005,Thousand units,0,
2004,Bulgaria,2004,Mil. USD,0,
2004,Bulgaria,2004,Thousand units,0,
2003,Bulgaria,2003,Mil. USD,0,
2003,Bulgaria,2003,Thousand units,0,
2002,Bulgaria,2002,Mil. USD,0,
2002,Bulgaria,2002,Thousand units,0,
2001,Bulgaria,2001,Mil. USD,0,
2001,Bulgaria,2001,Thousand units,0,
2000,Bulgaria,2000,Mil. USD,0,
2000,Bulgaria,2000,Thousand units,0,
1999,Bulgaria,1999,Mil. USD,0,
1999,Bulgaria,1999,Thousand units,0,
1998,Bulgaria,1998,Mil. USD,0,
1998,Bulgaria,1998,Thousand units,0,
2016,Chile,2016,Mil. USD,4.541971767,
2016,Chile,2016,Thousand units,0.298,
2015,Chile,2015,Mil. USD,7.86372513,
2015,Chile,2015,Thousand units,0.481,
2013,Chile,2013,Mil. USD,0.720406903,
2013,Chile,2013,Thousand units,0.012,
2009,Chile,2009,Mil. USD,0.31442077,
2009,Chile,2009,Thousand units,0.009,
2008,Chile,2008,Mil. USD,127.0437783,
2008,Chile,2008,Thousand units,7.068,
2007,Chile,2007,Mil. USD,222.5118686,
2007,Chile,2007,Thousand units,11.703,
2008,Colombia,2008,Thousand units,34.1,4
2007,Colombia,2007,Thousand units,68,4
2006,Colombia,2006,Thousand units,45.2,4
2005,Colombia,2005,Thousand units,51.9,4
2004,Colombia,2004,Thousand units,39.7,4
2016,Croatia,2016,Mil. USD,0,3
2016,Croatia,2016,Thousand units,0,3
2015,Croatia,2015,Thousand units,0,
2014,Croatia,2014,Thousand units,0,
2013,Croatia,2013,Thousand units,0,
2012,Croatia,2012,Thousand units,0,
2011,Croatia,2011,Thousand units,0,
2010,Croatia,2010,Thousand units,0,
2009,Croatia,2009,Thousand units,0,
2008,Croatia,2008,Thousand units,0,
2016,Czechia,2016,Mil. USD,18981.6932,
2016,Czechia,2016,Thousand units,1344.232,
2015,Czechia,2015,Mil. USD,17648.62036,
2015,Czechia,2015,Thousand units,1298.226,
2014,Czechia,2014,Mil. USD,18986.63134,
2014,Czechia,2014,Thousand units,1246.645,
2013,Czechia,2013,Mil. USD,17079.86902,
2013,Czechia,2013,Thousand units,1128.492,
2012,Czechia,2012,Mil. USD,19039.61239,
2012,Czechia,2012,Thousand units,1174.287,
2011,Czechia,2011,Mil. USD,19277.89317,
2011,Czechia,2011,Thousand units,1194.993,
2010,Czechia,2010,Mil. USD,15746.73072,
2010,Czechia,2010,Thousand units,1071.345,
2009,Czechia,2009,Mil. USD,12891.57006,
2009,Czechia,2009,Thousand units,970.663,
2008,Czechia,2008,Mil. USD,14479.3127,
2008,Czechia,2008,Thousand units,939.783,
2016,Denmark,2016,Mil. USD,0,3
2016,Denmark,2016,Thousand units,0,3
2008,Denmark,2008,Mil. USD,2.022702111,
2008,Denmark,2008,Thousand units,0.424,
2007,Denmark,2007,Mil. USD,1.378106591,
2007,Denmark,2007,Thousand units,0.342,
2006,Denmark,2006,Mil. USD,1.252442849,
2006,Denmark,2006,Thousand units,0.332,
2005,Denmark,2005,Mil. USD,1.817769485,
2005,Denmark,2005,Thousand units,0.54,
2004,Denmark,2004,Mil. USD,1.709381261,
2004,Denmark,2004,Thousand units,0.509,
2003,Denmark,2003,Mil. USD,1.49233265,
2003,Denmark,2003,Thousand units,0.536,
2002,Denmark,2002,Mil. USD,5.819336714,
2002,Denmark,2002,Thousand units,0.742,
2001,Denmark,2001,Mil. USD,8.302476896,
2001,Denmark,2001,Thousand units,0.794,
2000,Denmark,2000,Mil. USD,5.620461427,
2000,Denmark,2000,Thousand units,0.955,
1999,Denmark,1999,Mil. USD,5.443190028,
1999,Denmark,1999,Thousand units,1.022,
1998,Denmark,1998,Mil. USD,5.895541247,
1998,Denmark,1998,Thousand units,1.458,
1997,Denmark,1997,Mil. USD,6.11223402,
1997,Denmark,1997,Thousand units,2.004,
1996,Denmark,1996,Mil. USD,7.682794019,
1996,Denmark,1996,Thousand units,1.846,
1995,Denmark,1995,Mil. USD,6.989724581,
1995,Denmark,1995,Thousand units,1.269,
2016,Ecuador,2016,Mil. USD,289.043309,
2016,Ecuador,2016,Thousand units,19.89,
2015,Ecuador,2015,Mil. USD,622.895291,
2015,Ecuador,2015,Thousand units,36.701,
2014,Ecuador,2014,Mil. USD,752.784765,
2014,Ecuador,2014,Thousand units,47.089,
2013,Ecuador,2013,Mil. USD,646.325586,
2013,Ecuador,2013,Thousand units,43.575,
2012,Ecuador,2012,Mil. USD,0.402,
2012,Ecuador,2012,Thousand units,0.008,
2011,Ecuador,2011,Mil. USD,449.352901,
2011,Ecuador,2011,Thousand units,32.567,
2010,Ecuador,2010,Mil. USD,0.394773,
2010,Ecuador,2010,Thousand units,0.016,
2009,Ecuador,2009,Mil. USD,771.133312,
2009,Ecuador,2009,Thousand units,49.83980935,
2008,Ecuador,2008,Mil. USD,441.710041,
2008,Ecuador,2008,Thousand units,22.34,
2007,Ecuador,2007,Mil. USD,734.5753868,
2007,Ecuador,2007,Thousand units,51.735,
2006,Ecuador,2006,Mil. USD,700.3748828,
2006,Ecuador,2006,Thousand units,51.908,
2005,Ecuador,2005,Mil. USD,521.9648439,
2005,Ecuador,2005,Thousand units,43.387,
2004,Ecuador,2004,Mil. USD,310.005368,
2004,Ecuador,2004,Thousand units,29.228,
2015,Egypt,2015,Mil. USD,542.4178749,
2015,Egypt,2015,Thousand units,32.082,
2014,Egypt,2014,Mil. USD,630.9197466,
2014,Egypt,2014,Thousand units,38.445,
2010,Egypt,2010,Thousand units,43.627,5
2009,Egypt,2009,Thousand units,42.627,5
2008,Egypt,2008,Thousand units,40.909,5
2007,Egypt,2007,Thousand units,38.776,5
2006,Egypt,2006,Thousand units,36.113,5
2005,Egypt,2005,Thousand units,35.93,5
2004,Egypt,2004,Thousand units,63.393,5
2016,Estonia,2016,Mil. USD,0,3
2016,Estonia,2016,Thousand units,0,3
2015,Estonia,2015,Mil. USD,0,
2015,Estonia,2015,Thousand units,0,
2014,Estonia,2014,Mil. USD,0,
2014,Estonia,2014,Thousand units,0.002,
2013,Estonia,2013,Thousand units,0.002,
2008,Estonia,2008,Mil. USD,0,
2008,Estonia,2008,Thousand units,0,
2016,Finland,2016,Mil. USD,950.1843163,
2016,Finland,2016,Thousand units,48.392,
2015,Finland,2015,Mil. USD,1524.96682,
2015,Finland,2015,Thousand units,79.131,
2014,Finland,2014,Mil. USD,1125.070212,
2014,Finland,2014,Thousand units,46.092,
2013,Finland,2013,Mil. USD,188.5391606,
2013,Finland,2013,Thousand units,7.846,
2012,Finland,2012,Mil. USD,138.7651121,
2012,Finland,2012,Thousand units,1.973,
2011,Finland,2011,Mil. USD,233.5424753,
2011,Finland,2011,Thousand units,5.503,
2010,Finland,2010,Mil. USD,280.7779847,
2010,Finland,2010,Thousand units,8.238,
2009,Finland,2009,Mil. USD,393.1410857,
2009,Finland,2009,Thousand units,11.978,
2008,Finland,2008,Mil. USD,590.3250748,
2008,Finland,2008,Thousand units,17.859,
2007,Finland,2007,Mil. USD,773.2972917,
2007,Finland,2007,Thousand units,24.291,
2006,Finland,2006,Mil. USD,955.9164054,
2006,Finland,2006,Thousand units,32.615,
2005,Finland,2005,Mil. USD,679.0031339,
2005,Finland,2005,Thousand units,21.563,
2004,Finland,2004,Mil. USD,49.66692121,
2004,Finland,2004,Thousand units,10.236,
2003,Finland,2003,Mil. USD,71.10335286,
2003,Finland,2003,Thousand units,19.436,
2002,Finland,2002,Mil. USD,120.4647303,
2002,Finland,2002,Thousand units,41.176,
2001,Finland,2001,Mil. USD,120.8042881,
2001,Finland,2001,Thousand units,41.916,
2000,Finland,2000,Mil. USD,105.0303229,
2000,Finland,2000,Thousand units,38.468,
1999,Finland,1999,Mil. USD,106.5385618,
1999,Finland,1999,Thousand units,33.93,
1998,Finland,1998,Mil. USD,101.2452778,
1998,Finland,1998,Thousand units,31.364,
1997,Finland,1997,Mil. USD,98.49546031,
1997,Finland,1997,Thousand units,33.699,
2001,France,2001,Mil. USD,43422.40785,
2000,France,2000,Mil. USD,40464.71748,
2016,Germany,2016,Mil. USD,177810.2927,
2016,Germany,2016,Thousand units,5734.482,
2014,Germany,2014,Mil. USD,200573.0116,
2014,Germany,2014,Thousand units,5621.351,
2013,Germany,2013,Mil. USD,227569.831,
2013,Germany,2013,Thousand units,6360.061,
2012,Germany,2012,Mil. USD,212464.9359,
2012,Germany,2012,Thousand units,6237.408,
2011,Germany,2011,Mil. USD,231013.173,
2011,Germany,2011,Thousand units,6625.495,
2010,Germany,2010,Mil. USD,200031.8949,
2010,Germany,2010,Thousand units,6093.798,
2009,Germany,2009,Mil. USD,166042.1866,
2009,Germany,2009,Thousand units,5407.086,
2008,Germany,2008,Mil. USD,201075.0589,
2008,Germany,2008,Thousand units,6134.784,
2007,Germany,2007,Mil. USD,195846.1247,
2007,Germany,2007,Thousand units,6399.412,
2006,Germany,2006,Mil. USD,166926.0108,
2006,Germany,2006,Thousand units,5965.278,
2005,Germany,2005,Mil. USD,159711.1991,
2005,Germany,2005,Thousand units,5944.709,
2003,Germany,2003,Mil. USD,134199.4561,
2003,Germany,2003,Thousand units,5624.217,
2002,Germany,2002,Mil. USD,112014.3719,
2002,Germany,2002,Thousand units,5560.966,
1998,Germany,1998,Mil. USD,100083.0195,
1998,Germany,1998,Thousand units,5459.23,
1997,Germany,1997,Mil. USD,85751.49181,
1997,Germany,1997,Thousand units,4756.743,
1996,Germany,1996,Mil. USD,93203.97815,
1996,Germany,1996,Thousand units,4712.827,
1995,Germany,1995,Mil. USD,90270.73742,
1995,Germany,1995,Thousand units,4514.301,
2016,Hungary,2016,Mil. USD,8693.42861,
2016,Hungary,2016,Thousand units,522.865,
2015,Hungary,2015,Mil. USD,9159.249282,
2015,Hungary,2015,Thousand units,522.56,
2014,Hungary,2014,Mil. USD,9008.095384,
2014,Hungary,2014,Thousand units,434.61,
2013,Hungary,2013,Mil. USD,5768.474932,
2013,Hungary,2013,Thousand units,307.849,
2012,Hungary,2012,Mil. USD,3816.228697,
2012,Hungary,2012,Thousand units,230.57,
2011,Hungary,2011,Mil. USD,3681.783726,
2011,Hungary,2011,Thousand units,209.938,
2007,Hungary,2007,Mil. USD,4650.489446,
2007,Hungary,2007,Thousand units,288.682,
2006,Hungary,2006,Mil. USD,2380.032321,
2006,Hungary,2006,Thousand units,182.192,
2004,Hungary,2004,Mil. USD,1661.785076,
2004,Hungary,2004,Thousand units,116.393,
2016,Iceland,2016,Mil. USD,0,3
2016,Iceland,2016,Thousand units,0,3
2015,India,2015,Mil. USD,23778.94957,
2014,India,2014,Mil. USD,20778.98807,
2013,India,2013,Mil. USD,12811.45627,
2012,India,2012,Mil. USD,10810.09919,
2011,India,2011,Mil. USD,10042.71605,
2010,India,2010,Thousand units,2452.819,
2009,India,2009,Thousand units,1910.465,
2008,India,2008,Thousand units,1516.791,
2007,India,2007,Thousand units,1421.984,
2006,India,2006,Thousand units,1238.737,
2005,India,2005,Mil. USD,5162.88309,
2005,India,2005,Thousand units,1030.715,
2004,India,2004,Mil. USD,3516.909117,
2004,India,2004,Thousand units,731.925,
2003,India,2003,Mil. USD,2434.491518,
2003,India,2003,Thousand units,538.3,
2002,India,2002,Thousand units,575.426,
2001,India,2001,Thousand units,573.146,
2000,India,2000,Thousand units,506.281,
2009,Iran (Islamic Republic of),2009,Mil. USD,12738.32614,
2009,Iran (Islamic Republic of),2009,Thousand units,1193.979,
2008,Iran (Islamic Republic of),2008,Thousand units,1048.681,
2007,Iran (Islamic Republic of),2007,Thousand units,952.902,
2006,Iran (Islamic Republic of),2006,Thousand units,923.041,
2005,Iran (Islamic Republic of),2005,Thousand units,844.064,
2004,Ireland,2004,Mil. USD,14.4332073,
2004,Ireland,2004,Thousand units,0.398,
2003,Ireland,2003,Mil. USD,10.08200399,
2003,Ireland,2003,Thousand units,0.305,
2002,Ireland,2002,Mil. USD,4.529999953,
2002,Ireland,2002,Thousand units,0.165,
2001,Ireland,2001,Mil. USD,5.797354834,
2001,Ireland,2001,Thousand units,0.231,
2000,Ireland,2000,Mil. USD,6.517464132,
2000,Ireland,2000,Thousand units,0.254,
1999,Ireland,1999,Mil. USD,6.792441648,
1998,Ireland,1998,Mil. USD,4.80651778,
1998,Ireland,1998,Thousand units,0.189,
1997,Ireland,1997,Mil. USD,4.394645747,
1997,Ireland,1997,Thousand units,0,
1996,Ireland,1996,Mil. USD,4.472953839,
1996,Ireland,1996,Thousand units,0.116,
1995,Ireland,1995,Mil. USD,3.897675716,
1995,Ireland,1995,Thousand units,0.102,
2016,Japan,2016,Mil. USD,140957.0202,
2016,Japan,2016,Thousand units,8405.198,
2015,Japan,2015,Mil. USD,117430.8349,
2015,Japan,2015,Thousand units,7793.242,
2014,Japan,2014,Mil. USD,131697.3226,
2014,Japan,2014,Thousand units,8136.297,
2013,Japan,2013,Mil. USD,138920.8213,
2013,Japan,2013,Thousand units,8139.417,
2012,Japan,2012,Mil. USD,163103.123,
2012,Japan,2012,Thousand units,8559.948,
2011,Japan,2011,Mil. USD,139632.0863,
2011,Japan,2011,Thousand units,7402.944,
2010,Japan,2010,Mil. USD,130685.3308,
2010,Japan,2010,Thousand units,7578.654,
2009,Japan,2009,Mil. USD,107268.2852,
2009,Japan,2009,Thousand units,6768.539,
2008,Japan,2008,Mil. USD,133837.3425,
2008,Japan,2008,Thousand units,9334.574,
2007,Japan,2007,Mil. USD,124455.9471,
2007,Japan,2007,Thousand units,9521.504,
2006,Japan,2006,Mil. USD,150358.9811,
2006,Japan,2006,Thousand units,10683.519,
2005,Japan,2005,Mil. USD,137959.2335,
2005,Japan,2005,Thousand units,9587.561,
2004,Japan,2004,Mil. USD,132070.6321,
2004,Japan,2004,Thousand units,9604.558,
2003,Japan,2003,Mil. USD,124694.6781,
2003,Japan,2003,Thousand units,9409.471,
2002,Japan,2002,Mil. USD,111008.676,
2002,Japan,2002,Thousand units,9244.472,6
2001,Japan,2001,Mil. USD,106945.5736,
2000,Japan,2000,Mil. USD,115772.3779,
1999,Japan,1999,Mil. USD,112838.6228,
1998,Japan,1998,Mil. USD,99221.29917,
1997,Japan,1997,Mil. USD,107456.8255,
2016,Kazakhstan,2016,Thousand units,5.192,
2015,Kazakhstan,2015,Thousand units,0.295,
2014,Kazakhstan,2014,Thousand units,0.442,
2013,Kazakhstan,2013,Thousand units,0.909,
2012,Kazakhstan,2012,Thousand units,0.199,
2011,Kazakhstan,2011,Thousand units,0.091,
2010,Kazakhstan,2010,Thousand units,0.043,
2009,Kazakhstan,2009,Thousand units,0.002,
2008,Kazakhstan,2008,Thousand units,0.115,
2007,Kazakhstan,2007,Thousand units,0.04,
2006,Kazakhstan,2006,Thousand units,0.119,
2005,Kazakhstan,2005,Thousand units,2.268,
2004,Kazakhstan,2004,Thousand units,3.206,
2003,Kazakhstan,2003,Thousand units,2.628,
2016,Kenya,2016,Mil. USD,0.064036652,
2016,Kenya,2016,Thousand units,0.048,
2015,Kenya,2015,Mil. USD,0.737402124,
2015,Kenya,2015,Thousand units,0.699,
2014,Kenya,2014,Mil. USD,1.599141717,
2014,Kenya,2014,Thousand units,1.346,
2013,Kenya,2013,Mil. USD,1.66622391,
2013,Kenya,2013,Thousand units,0.991,
2012,Kenya,2012,Mil. USD,0.259080836,
2012,Kenya,2012,Thousand units,0.23,
2011,Kenya,2011,Mil. USD,0.228575886,
2011,Kenya,2011,Thousand units,0.3,
2010,Kenya,2010,Mil. USD,0.117139007,
2010,Kenya,2010,Thousand units,0.18,
2009,Kenya,2009,Mil. USD,0.284414062,
2009,Kenya,2009,Thousand units,0.308,
2008,Kenya,2008,Mil. USD,0.056378489,
2008,Kenya,2008,Thousand units,0.175,
2007,Kenya,2007,Mil. USD,0.261447081,
2007,Kenya,2007,Thousand units,0.205,
2006,Kenya,2006,Mil. USD,0.28432403,
2006,Kenya,2006,Thousand units,0.22,
2005,Kenya,2005,Mil. USD,0.238239854,
2005,Kenya,2005,Thousand units,0.23,
2004,Kenya,2004,Mil. USD,0.366282434,
2004,Kenya,2004,Thousand units,0.302,
2003,Kenya,2003,Mil. USD,0.553100481,
2003,Kenya,2003,Thousand units,0.506,
2002,Kenya,2002,Mil. USD,0.292066675,
2002,Kenya,2002,Thousand units,0.332,
2016,Latvia,2016,Mil. USD,0,3
2016,Latvia,2016,Thousand units,0,3
2016,Lithuania,2016,Mil. USD,0,3
2016,Lithuania,2016,Thousand units,0,3
2015,Lithuania,2015,Mil. USD,0,
2015,Lithuania,2015,Thousand units,0,
2014,Lithuania,2014,Mil. USD,0,
2014,Lithuania,2014,Thousand units,0,
2013,Lithuania,2013,Mil. USD,0,
2013,Lithuania,2013,Thousand units,0,
2012,Lithuania,2012,Mil. USD,0,
2012,Lithuania,2012,Thousand units,0,
2011,Lithuania,2011,Mil. USD,0,
2011,Lithuania,2011,Thousand units,0,
2010,Lithuania,2010,Mil. USD,0,
2010,Lithuania,2010,Thousand units,0,
2009,Lithuania,2009,Mil. USD,0,
2009,Lithuania,2009,Thousand units,0,
2008,Lithuania,2008,Mil. USD,0,
2008,Lithuania,2008,Thousand units,0,
2007,Lithuania,2007,Mil. USD,0,
2007,Lithuania,2007,Thousand units,0,
2006,Lithuania,2006,Mil. USD,0,
2006,Lithuania,2006,Thousand units,0,
2005,Lithuania,2005,Mil. USD,0,
2005,Lithuania,2005,Thousand units,0,
2004,Lithuania,2004,Mil. USD,0,
2004,Lithuania,2004,Thousand units,0,
2003,Lithuania,2003,Mil. USD,0,
2003,Lithuania,2003,Thousand units,0,
2002,Lithuania,2002,Mil. USD,0,
2002,Lithuania,2002,Thousand units,0,
2001,Lithuania,2001,Mil. USD,0,
2001,Lithuania,2001,Thousand units,0,
2000,Lithuania,2000,Mil. USD,0,
2000,Lithuania,2000,Thousand units,0,
1999,Lithuania,1999,Mil. USD,0,
1999,Lithuania,1999,Thousand units,0,
1998,Lithuania,1998,Mil. USD,0,
1998,Lithuania,1998,Thousand units,0,
1997,Lithuania,1997,Mil. USD,0,
1997,Lithuania,1997,Thousand units,0,
2016,Luxembourg,2016,Mil. USD,0,3
2016,Luxembourg,2016,Thousand units,0,3
2016,Malaysia,2016,Thousand units,503.771,
2015,Malaysia,2015,Thousand units,568.018,
2014,Malaysia,2014,Thousand units,547.824,
2013,Malaysia,2013,Thousand units,534.992,
2012,Malaysia,2012,Thousand units,480.317,
2011,Malaysia,2011,Thousand units,455.621,
2010,Malaysia,2010,Thousand units,474.7,
2009,Malaysia,2009,Thousand units,409.368,
2008,Malaysia,2008,Thousand units,419.607,
2007,Malaysia,2007,Thousand units,333.688,
2006,Malaysia,2006,Thousand units,365.595,
2005,Malaysia,2005,Thousand units,422.982,
2004,Malaysia,2004,Thousand units,385.113,
2003,Malaysia,2003,Thousand units,348.05,
2002,Malaysia,2002,Thousand units,418.798,
2001,Malaysia,2001,Thousand units,383.636,
2000,Malaysia,2000,Thousand units,300.758,
1999,Malaysia,1999,Thousand units,258.111,
1998,Malaysia,1998,Thousand units,149.2,
1997,Malaysia,1997,Thousand units,362.133,
2016,Malta,2016,Mil. USD,0,3
2016,Malta,2016,Thousand units,0,3
2016,Mexico,2016,Mil. USD,29288.36753,
2016,Mexico,2016,Thousand units,2281.955,
2015,Mexico,2015,Mil. USD,29469.89155,
2015,Mexico,2015,Thousand units,2117.278,
2014,Mexico,2014,Mil. USD,30175.34014,
2014,Mexico,2014,Thousand units,2046.274,
2013,Mexico,2013,Mil. USD,30784.89324,
2013,Mexico,2013,Thousand units,1986.262,
2012,Mexico,2012,Mil. USD,28194.60672,
2012,Mexico,2012,Thousand units,1963.435,
2011,Mexico,2011,Mil. USD,25188.3059,
2011,Mexico,2011,Thousand units,1774.242,
2010,Mexico,2010,Mil. USD,20276.6248,
2010,Mexico,2010,Thousand units,1464.556,
2009,Mexico,2009,Mil. USD,13722.07371,
2009,Mexico,2009,Thousand units,1033.372,
2008,Mexico,2008,Mil. USD,18602.96234,
2008,Mexico,2008,Thousand units,1388.669,
2007,Mexico,2007,Mil. USD,16808.15139,
